name,rarity
1 Base female,4500
2 Base female,4500
3 Base female,4500
4 Base female,4500
5 Base female,4500
6 Base female,4500
7 Base female,4500
8 Base female,4500
1 Clothes back,4500
2 Clothes back,4500
3 Clothes back,4500
4 Clothes back,4500
5 Clothes back,4500
6 Clothes back,4500
7 Clothes back,4500
8 Clothes back,4500
9 Clothes back,4500
11 Necklaces,4500
2 Necklaces,4500
6 Necklaces,4500
none.3 Necklaces,4500
none.4 Necklaces,4500
none Necklaces,4500
none1 Necklaces,4500
none2 Necklaces,4500
1 accessories back,4500
3 accessories back,4500
7 accessories back,4500
bag 1 accessories back,4500
bag 2 accessories back,4500
no accessory - Copy (2) accessories back,4500
no accessory - Copy (3) accessories back,4500
no accessory - Copy accessories back,4500
no accessory accessories back,4500
1 accessories front,4500
11 accessories front,4500
10 accessories front,4500
3 accessories front,4500
5 accessories front,4500
7 accessories front,4500
8 accessories front,4500
9 accessories front,4500
bag 1 accessories front,4500
bag 2 accessories front,4500
no accessory - Copy (2) accessories front,4500
no accessory - Copy (3) accessories front,4500
no accessory - Copy accessories front,4500
no accessory accessories front,4500
veil accessories front,4500
1 backgrounds,315
10 backgrounds,315
11 backgrounds,315
12 backgrounds,315
13 backgrounds,315
14 backgrounds,315
2 backgrounds,315
3 backgrounds,315
4 backgrounds,315
5 backgrounds,315
6 backgrounds,315
7 backgrounds,315
8 backgrounds,315
9 backgrounds,319
aqua backgrounds,5
green backgrounds,5
orange backgrounds,5
pink backgrounds,5
purple backgrounds,5
yellow backgrounds,5
1 female back hair,4500
2 female back hair,4500
3 female back hair,4500
4 female back hair,4500
5 female back hair,4500
6 female back hair,4500
7 female back hair,4500
8 female back hair,4500
1 female cloths,4500
2 female cloths,4500
3 female cloths,4500
4 female cloths,4500
5 female cloths,4500
6 female cloths,4500
7 female cloths,4500
9 female cloths,4500
1 female eyes,4500
2 female eyes,4500
3 female eyes,4500
4 female eyes,4500
5 female eyes,4500
6 female eyes,4500
7 female eyes,4500
8 female eyes,4500
1 female front hair,4500
2 female front hair,4500
3 female front hair,4500
4 female front hair,4500
5 female front hair,4500
6 female front hair,4500
7 female front hair,4500
8 female front hair,4500
1 female wings,4500
no wings - Copy (2) female wings,4500
no wings - Copy (3) female wings,4500
no wings - Copy (4) female wings,4500
no wings - Copy female wings,4500
no wings female wings,4500
none female wings,4500
dragon pets back,4500
no pets back - Copy (2) pets back,4500
no pets back - Copy (3) pets back,4500
no pets back - Copy (4) pets back,4500
no pets back - Copy (5) pets back,4500
no pets back - Copy pets back,4500
no pets back pets back,4500
snake pets back,4500
angel pets front,4500
dragon pets front,4500
nine tailed fox pets front,4500
no pets front - Copy (2) pets front,4500
no pets front - Copy (3) pets front,4500
no pets front - Copy (4) pets front,4500
no pets front - Copy pets front,4500
no pets front pets front,4500
snake pets front,4500
wolf pets front,4500
